City,Area_SqFt,Bedroom,Bathroom,Floors,Parking,Road_Width_Ft,Face,Price,Price_Lakhs
Lalitpur,1369.0,1,1,2.5,0,19.68504,East,3500000,35.0
Lalitpur,1200.0,3,2,5.0,1,40.0,East,16500000,165.0
Kathmandu,8898.5,1,1,2.5,0,35.0,East,10000000,100.0
Kathmandu,5476.0,1,1,2.5,0,14.0,East,3500000,35.0
Kathmandu,1369.0,1,1,2.5,0,16.0,South East,2400000,24.0
Bhaktapur,3914.484375,1,1,2.5,0,13.0,East,2200000,22.0
Lalitpur,2652.4375,1,1,2.5,0,13.0,East,3000000,30.0
Kathmandu,342.25,1,1,2.5,0,16.0,South West,3500000,35.0
Kathmandu,855.625,1,1,2.5,0,26.0,South East,7000000,70.0
Kathmandu,3935.875,1,1,2.5,0,14.0,South West,2500000,25.0
Kathmandu,2738.0,1,1,2.5,0,32.0,North,6000000,60.0
Kathmandu,1026.75,1,3,2.0,1,16.0,East,24500000,245.0
Kathmandu,5818.25,1,1,2.5,0,13.0,West,2850000,28.5
Kathmandu,3935.875,1,1,2.5,0,14.0,South East,2500000,25.0
Kathmandu,10952.0,1,1,2.5,0,14.0,North,2600000,26.0
Kathmandu,1026.75,5,3,3.0,1,14.0,West,17000000,170.0
Kathmandu,1796.8125,1,1,2.5,0,12.0,South East,2850000,28.5
Kathmandu,16428.0,1,1,2.5,0,20.0,South East,4000000,40.0
Kathmandu,4663.15625,1,1,2.5,1,20.0,East,15000000,150.0
Kathmandu,6160.5,1,1,2.5,0,36.0,South East,5500000,55.0
Kathmandu,4449.25,1,1,2.5,0,36.08924,East,4200000,42.0
Lalitpur,1500.0,1,1,2.5,0,4.0,East,3500000,35.0
Lalitpur,683.0,2,1,2.5,0,30.0,North,11900000,119.0
Kathmandu,1882.375,6,6,2.5,1,20.0,South East,28500000,285.0
Lalitpur,1197.875,1,1,2.5,1,13.0,South West,21500000,215.0
Kathmandu,1369.0,1,1,2.5,0,13.0,East,3000000,30.0
Lalitpur,1711.25,3,1,2.0,1,16.0,West,12500000,125.0
Kathmandu,1540.125,11,1,2.5,1,20.0,East,32500000,325.0
Lalitpur,1369.0,5,3,2.5,1,10.0,North West,22000000,220.0
Other,1369.0,3,4,2.5,1,15.0,East,11000000,110.0
Kathmandu,1060.9750000000001,1,2,3.0,1,20.0,South,17000000,170.0
Bhaktapur,1454.5625,1,1,2.5,0,13.0,West,3000000,30.0
Lalitpur,941.1875,2,1,1.5,2,13.0,West,11000000,110.0
Kathmandu,2738.0,1,1,2.5,0,45.0,East,15000000,150.0
Lalitpur,1026.75,4,2,1.5,1,13.0,North East,13000000,130.0
Kathmandu,1818.203125,15,1,5.0,0,29.0,East,42500000,425.0
Kathmandu,2481.3125,1,1,2.5,0,4.0,East,10500000,105.0
Chitwan,1369.0,4,2,3.0,1,13.0,South,10500000,105.0
Kathmandu,1711.25,6,5,3.0,2,14.0,North,30000000,300.0
Lalitpur,1471.675,4,4,3.0,1,12.0,South,31500000,315.0
Lalitpur,1090.921875,3,3,3.0,1,18.0,South East,18000000,180.0
Chitwan,1026.75,1,1,1.0,0,20.0,East,50000000,500.0
Kathmandu,2738.0,4,5,3.0,1,20.0,South West,57500000,575.0
Kathmandu,684.5,1,3,3.0,1,25.0,East,30000000,300.0
Kathmandu,1369.0,1,1,2.5,0,18.0,East,15500000,155.0
Kathmandu,3251.375,1,1,2.5,0,20.0,East,7500000,75.0
Kathmandu,3251.375,1,1,2.0,3,15.0,East,60000000,600.0
Kathmandu,1711.25,1,1,2.5,0,12.0,North East,2700000,27.0
Kathmandu,1240.65625,7,3,2.5,2,12.0,West,35000000,350.0
Kathmandu,3080.25,1,1,2.5,0,16.0,East,3600000,36.0
Kathmandu,855.625,6,4,4.0,2,20.0,East,25000000,250.0
Kathmandu,1197.875,1,1,2.0,0,13.0,North,15500000,155.0
Kathmandu,4449.25,1,1,2.5,0,40.0,East,9500000,95.0
Kathmandu,3080.25,1,1,5.0,0,12.0,East,75000000,750.0
Kathmandu,4449.25,1,1,2.5,0,25.0,East,3500000,35.0
Kathmandu,13690.0,1,1,2.5,0,15.0,East,7500000,75.0
Kathmandu,3422.5,1,1,3.0,0,16.0,East,75000000,750.0
Kathmandu,2738.0,1,1,2.5,0,16.0,East,4500000,45.0
Kathmandu,3080.25,1,1,2.5,0,16.0,East,3700000,37.0
Kathmandu,2053.5,1,1,4.0,3,18.0,East,39500000,395.0
Kathmandu,3422.5,1,1,2.5,0,16.0,East,5000000,50.0
Kathmandu,1369.0,5,6,3.0,2,20.0,South,37000000,370.0
Lalitpur,1369.0,1,1,4.0,1,10.0,East,25600000,256.0
Kathmandu,2139.0625,5,4,2.0,2,20.0,East,36500000,365.0
Kathmandu,6502.75,5,1,2.0,0,20.0,East,102500000,1025.0
Kathmandu,1112.3125,5,3,3.0,1,14.0,East,22500000,225.0
Kathmandu,1026.75,5,3,3.0,2,15.0,East,23500000,235.0
Kathmandu,1090.921875,4,3,3.0,1,15.0,East,22500000,225.0
Kathmandu,1369.0,5,4,3.0,1,15.0,East,32500000,325.0
Kathmandu,4107.0,5,1,3.0,4,15.0,East,42500000,425.0
Kathmandu,1369.0,10,3,2.0,0,4.0,East,11000000,110.0
Kathmandu,1711.25,5,3,2.0,1,12.0,East,42500000,425.0
Kathmandu,2053.5,5,4,2.0,2,18.0,East,35000000,350.0
Kathmandu,1711.25,1,1,2.5,0,20.0,East,2200000,22.0
Kathmandu,1711.25,1,1,2.5,0,16.0,East,2400000,24.0
Kathmandu,1711.25,1,1,2.5,0,12.0,South East,2400000,24.0
Kathmandu,1026.75,1,1,1.0,0,13.0,East,6000000,60.0
Kathmandu,4449.25,1,1,2.5,0,13.0,West,2700000,27.0
Kathmandu,2053.5,1,1,2.5,0,20.0,East,2300000,23.0
Kathmandu,1369.0,5,5,3.0,1,20.0,South,37000000,370.0
Kathmandu,2053.5,6,6,3.0,3,20.0,East,45000000,450.0
Lalitpur,3764.75,2,1,1.0,2,4.0,East,39000000,390.0
Kathmandu,1283.4375,5,3,3.0,1,12.0,East,17000000,170.0
Kathmandu,1026.75,6,3,2.5,1,10.0,South East,16500000,165.0
Kathmandu,1283.4375,4,4,2.5,1,13.0,East,20500000,205.0
Lalitpur,1625.6875,7,6,3.0,3,13.0,North East,25000000,250.0
Bhaktapur,1026.75,1,1,2.0,0,16.0,East,12500000,125.0
Lalitpur,1369.0,4,5,1.0,1,20.0,South West,21000000,210.0
Bhaktapur,4278.125,1,1,2.5,0,60.0,East,3500000,35.0
Lalitpur,19936.0625,1,1,2.5,0,60.0,East,2000000,20.0
Kathmandu,1369.0,1,1,2.5,0,12.0,West,2500000,25.0
Kathmandu,11465.375,1,1,2.5,0,60.0,East,6000000,60.0
Kathmandu,1625.6875,6,3,3.0,2,13.0,South,18000000,180.0
Lalitpur,1882.375,4,4,2.5,1,20.0,East,35200000,352.0
Lalitpur,2053.5,4,4,2.5,1,20.0,West,37100000,371.0
Kathmandu,1711.25,4,5,3.0,4,14.0,East,55000000,550.0
Lalitpur,1796.8125,4,4,2.5,1,20.0,West,34500000,345.0
Kathmandu,2053.5,5,6,3.0,3,13.0,North East,45000000,450.0
Kathmandu,1060.9750000000001,6,5,3.0,1,14.0,East,22500000,225.0
Kathmandu,1026.75,6,5,3.0,1,13.0,East,23500000,235.0
Kathmandu,6502.75,6,6,3.0,4,13.0,East,102500000,1025.0
Lalitpur,1454.5625,4,4,2.0,1,40.0,North East,28200000,282.0
Kathmandu,1026.75,2,1,1.0,2,10.0,East,13000000,130.0
Kathmandu,1369.0,5,5,3.0,1,13.0,East,32500000,325.0
Kathmandu,1711.25,11,9,3.0,1,13.0,North,26000000,260.0
Kathmandu,1711.25,7,8,4.0,1,13.0,South East,24000000,240.0
Lalitpur,855.625,3,4,2.5,1,12.0,West,17700000,177.0
Kathmandu,4278.125,1,1,1.0,2,10.0,East,2200000,22.0
Kathmandu,1026.75,5,5,3.0,1,14.0,North East,16800000,168.0
Kathmandu,1882.375,6,6,3.0,2,30.0,North East,34000000,340.0
Kathmandu,1026.75,5,5,3.0,1,14.0,South East,22500000,225.0
Kathmandu,4107.0,5,6,3.0,4,14.0,South East,42500000,425.0
Kathmandu,1711.25,7,3,2.5,1,10.0,North,41000000,410.0
Kathmandu,2806.45,3,3,2.5,2,4.0,West,15000000,150.0
Lalitpur,2481.3125,8,6,4.0,1,12.0,North West,37500000,375.0
Kathmandu,1026.75,5,3,2.5,1,13.0,East,16000000,160.0
Kathmandu,1095.2,4,4,3.0,2,4.0,West,15000000,150.0
Lalitpur,1369.0,6,4,2.5,3,20.0,West,21500000,215.0
Kathmandu,1026.75,1,1,3.0,0,4.0,North East,23500000,235.0
Kathmandu,2053.5,5,5,2.5,1,13.0,South,60000000,600.0
Kathmandu,2310.1875,1,1,2.5,1,13.0,North,4200000,42.0
Kathmandu,3080.25,1,1,2.5,1,13.0,South,4200000,42.0
Kathmandu,1860.984375,1,1,2.5,0,20.0,South,4500000,45.0
Kathmandu,3080.25,1,1,2.5,0,13.0,South,4200000,42.0
Kathmandu,1219.265625,1,1,2.5,1,26.0,North,6000000,60.0
Kathmandu,5476.0,1,1,2.5,0,36.08924,East,8000000,80.0
Lalitpur,650.0,1,1,2.5,0,60.0,South,2300000,23.0
Kathmandu,8898.5,1,1,2.5,0,20.0,West,4200000,42.0
Lalitpur,1026.75,4,4,2.5,1,4.0,East,30000000,300.0
Kathmandu,7187.25,6,6,3.0,6,15.0,East,81000000,810.0
Kathmandu,4107.0,5,5,2.0,6,22.0,North,55000000,550.0
Kathmandu,1026.75,6,2,3.0,1,23.0,West,13000000,130.0
Kathmandu,1026.75,4,3,2.5,1,4.0,East,30000000,300.0
Kathmandu,1112.3125,5,4,3.0,1,15.0,North,17500000,175.0
Kathmandu,4107.0,6,5,2.0,1,12.0,East,65000000,650.0
Kathmandu,1026.75,3,1,2.5,1,13.0,South,9500000,95.0
Kathmandu,2181.84375,6,3,3.0,1,10.0,East,9000000,90.0
Kathmandu,4791.5,1,1,2.5,0,20.0,East,2900000,29.0
Kathmandu,3080.25,15,10,4.0,2,8.0,South,80000000,800.0
Lalitpur,1026.75,3,3,2.5,1,4.0,East,20000000,200.0
Kathmandu,5476.0,1,1,2.5,0,18.0,South East,4100000,41.0
Kathmandu,1369.0,7,3,3.0,1,10.0,South,31000000,310.0
Lalitpur,1026.75,5,3,3.0,1,20.0,North East,19500000,195.0
Kathmandu,21904.0,1,1,2.5,0,20.0,East,3500000,35.0
Kathmandu,2738.0,5,4,2.0,1,20.0,East,65000000,650.0
Kathmandu,6845.0,6,6,2.0,4,18.0,East,150000000,1500.0
Kathmandu,3422.5,1,1,2.5,0,16.0,East,3500000,35.0
Kathmandu,2738.0,1,1,2.5,0,15.0,South,3500000,35.0
Kathmandu,2053.5,6,6,3.0,2,16.0,East,37000000,370.0
Kathmandu,1026.75,4,3,2.0,1,15.0,East,19000000,190.0
Kathmandu,4107.0,6,5,3.0,3,16.0,East,105000000,1050.0
Kathmandu,3422.5,1,1,2.5,0,25.0,East,4500000,45.0
Kathmandu,2053.5,1,1,2.5,0,16.0,East,3400000,34.0
Kathmandu,2738.0,5,6,3.0,3,22.0,South East,65000000,650.0
Lalitpur,1112.3125,5,3,2.5,1,20.0,West,19500000,195.0
Kathmandu,1369.0,8,5,3.0,1,14.0,West,24000000,240.0
Chitwan,5989.375,1,1,2.5,0,20.0,East,2000000,20.0
Bhaktapur,1625.6875,3,4,2.5,3,30.0,East,35000000,350.0
Lalitpur,1369.0,5,2,4.0,1,15.0,East,20000000,200.0
Lalitpur,1369.0,6,4,3.0,1,13.0,West,23500000,235.0
Kathmandu,1347.609375,4,4,2.0,1,18.0,South,24000000,240.0
Lalitpur,3208.59375,4,4,3.0,2,60.0,South,40000000,400.0
Kathmandu,4113.845,1,1,2.5,0,21.0,South,3000000,30.0
Bhaktapur,1754.03125,4,3,3.0,2,28.0,South,39999999,399.99999
Kathmandu,10222.5796875,1,1,2.5,0,14.0,West,2000000,20.0
Kathmandu,2652.4375,7,3,3.0,1,13.0,West,43500000,435.0
Other,6160.5,1,1,2.5,0,12.0,East,2000000,20.0
Kathmandu,3422.5,1,1,2.5,0,15.0,North East,3500000,35.0
Lalitpur,2738.0,1,1,2.5,0,14.0,South East,2700000,27.0
Kathmandu,855.625,4,3,2.0,1,16.0,East,22500000,225.0
Kathmandu,2053.5,1,4,3.0,2,20.0,East,45000000,450.0
Kathmandu,4449.25,5,6,3.0,4,20.0,East,85000000,850.0
Kathmandu,7187.25,6,6,3.0,5,20.0,East,160000000,1600.0
Kathmandu,10952.0,1,1,2.5,0,15.0,East,7500000,75.0
Kathmandu,3764.75,12,8,4.0,4,13.0,East,61000000,610.0
Kathmandu,2053.5,6,6,3.0,2,15.0,East,45000000,450.0
Kathmandu,1540.125,5,5,3.0,2,14.0,East,49500000,495.0
Kathmandu,1197.875,6,6,3.0,1,15.0,North East,24000000,240.0
Kathmandu,2738.0,6,6,3.0,4,20.0,South West,45000000,450.0
Kathmandu,3422.5,7,7,3.0,4,15.0,South,60000000,600.0
Kathmandu,855.625,5,5,3.0,1,14.0,East,22500000,225.0
Kathmandu,4107.0,5,5,3.0,0,22.0,South,69000000,690.0
Kathmandu,2738.0,1,1,2.5,0,30.0,East,68000000,680.0
Kathmandu,6160.5,1,1,2.5,0,16.0,East,3700000,37.0
Kathmandu,5818.25,5,6,3.0,4,14.0,South West,62000000,620.0
Kathmandu,6160.5,1,1,2.5,0,15.0,East,3700000,37.0
Kathmandu,4107.0,7,7,3.0,4,20.0,South East,69000000,690.0
Kathmandu,2053.5,6,7,3.0,2,15.0,East,45000000,450.0
Kathmandu,4107.0,6,5,2.0,0,16.0,East,65000000,650.0
Kathmandu,2053.5,8,7,4.0,4,20.0,South East,42000000,420.0
Lalitpur,1197.875,2,1,1.35,1,10.0,North East,13000000,130.0
Lalitpur,1090.921875,2,1,1.5,1,10.0,North,12700000,127.0
Lalitpur,855.625,2,1,1.5,1,16.0,West,11000000,110.0
Chitwan,8898.5,1,1,2.5,0,60.0,South,3050000,30.5
Lalitpur,1026.75,2,1,1.5,1,13.0,West,12000000,120.0
Lalitpur,1304.828125,2,1,1.5,1,13.0,East,12500000,125.0
Kathmandu,1197.875,8,4,3.0,1,10.0,North,19000000,190.0
Lalitpur,983.96875,2,1,1.5,1,13.0,South,11500000,115.0
Lalitpur,1411.78125,2,1,1.5,1,16.0,North East,15000000,150.0
Lalitpur,1026.75,2,1,1.5,1,13.0,East,11000000,110.0
Other,1369.0,4,4,2.0,4,14.0,East,20000000,200.0
Kathmandu,684.5,1,1,2.5,0,15.0,East,7500000,75.0
Kathmandu,1369.0,1,1,2.5,0,16.0,East,4500000,45.0
Kathmandu,1369.0,1,1,2.5,0,13.0,East,4600000,46.0
Kathmandu,1369.0,5,5,3.0,1,13.0,West,23000000,230.0
Kathmandu,1882.375,7,4,4.0,4,14.0,East,60000000,600.0
Kathmandu,1882.375,5,6,4.0,4,13.0,East,60000000,600.0
Kathmandu,1369.0,7,4,3.0,1,14.0,East,25500000,255.0
Kathmandu,2395.75,5,4,2.0,2,14.0,South East,55000000,550.0
Lalitpur,1112.3125,4,5,2.5,1,4.0,South West,22200000,222.0
Kathmandu,1129.425,5,3,2.0,1,13.0,East,24000000,240.0
Kathmandu,2395.75,5,6,3.0,2,14.0,South,55000000,550.0
Kathmandu,1283.4375,7,6,4.0,1,14.0,South West,25500000,255.0
Kathmandu,1711.25,1,1,2.5,0,15.0,East,2700000,27.0
Kathmandu,1369.0,6,3,2.0,1,15.0,East,27500000,275.0
Kathmandu,1026.75,1,1,2.5,0,20.0,East,2650000,26.5
Kathmandu,3422.5,5,4,2.0,2,16.0,East,63000000,630.0
Kathmandu,3422.5,1,1,2.5,0,14.0,West,3500000,35.0
Kathmandu,5818.25,5,5,2.0,0,20.0,East,60000000,600.0
Kathmandu,2053.5,6,4,3.0,2,30.0,East,34500000,345.0
Kathmandu,1779.7,3,3,2.0,2,15.0,East,39500000,395.0
Kathmandu,3080.25,1,3,2.0,3,16.0,East,38000000,380.0
Lalitpur,1796.8125,4,1,1.5,0,4.0,North East,12000000,120.0
Lalitpur,342.25,1,2,3.0,0,4.0,South,8700000,87.0
Lalitpur,1026.75,2,1,1.0,1,13.0,East,12500000,125.0
Lalitpur,1283.4375,4,4,3.0,1,13.0,West,23500000,235.0
Lalitpur,1197.875,6,4,3.0,0,13.0,East,27000000,270.0
Kathmandu,1340.0,4,2,2.5,1,20.0,South,15200000,152.0
Kathmandu,1129.425,1,1,2.5,0,20.0,East,2650000,26.5
Kathmandu,1026.75,5,5,3.0,1,13.0,East,235000000,2350.0
Kathmandu,1369.0,7,6,3.0,1,13.0,East,27600000,276.0
Kathmandu,7529.5,5,4,2.5,8,16.0,East,70000000,700.0
Kathmandu,1540.125,4,4,2.0,2,16.0,East,50000000,500.0
Kathmandu,1026.75,4,3,2.0,1,15.0,East,22500000,225.0
Kathmandu,1026.75,1,3,2.0,1,16.0,East,23500000,235.0
Kathmandu,7529.5,6,7,3.0,8,15.0,East,70000000,700.0
Kathmandu,7187.25,10,10,4.0,5,20.0,East,160000000,1600.0
Kathmandu,2053.5,6,6,3.0,0,15.0,South East,42500000,425.0
Kathmandu,1060.9750000000001,5,5,3.0,1,13.0,North,18000000,180.0
Kathmandu,1369.0,6,6,3.0,2,14.0,East,27500000,275.0
Kathmandu,1711.25,5,3,2.5,1,15.0,West,33000000,330.0
Kathmandu,6845.0,5,6,3.0,4,18.0,East,145000000,1450.0
Lalitpur,7358.375,5,4,3.0,8,8.0,South,3700000,37.0
Lalitpur,1369.0,4,5,2.5,1,20.0,South West,21000000,210.0
Lalitpur,1647.078125,5,4,3.0,1,13.0,South East,28500000,285.0
Kathmandu,1711.25,4,2,2.5,0,20.0,North East,17500000,175.0
Kathmandu,1369.0,4,2,2.0,1,4.0,North East,15500000,155.0
Kathmandu,1369.0,4,2,2.5,1,20.0,North East,15500000,155.0
Kathmandu,3422.5,1,1,2.5,0,13.0,East,3200000,32.0
Kathmandu,1026.75,1,1,2.5,0,20.0,North,3000000,30.0
Kathmandu,1882.375,1,1,2.5,0,13.0,East,2300000,23.0
